date,item_name,category,quantity,sales_amount,cost,profit,cost_per_unit
2025-04-15,Stapler,Accessories,4,478.99,387.39,91.6,96.85
2025-04-15,Tape,Accessories,1,42.32,32.92,9.41,32.92
2025-04-16,Notebook,Books,5,273.55,183.16,90.39,36.63
2025-04-16,Pencil,Writing,4,16.95,13.08,3.87,3.27
2025-04-16,Stapler,Accessories,4,414.93,332.09,82.84,83.02
2025-04-16,Tape,Accessories,4,183.82,145.42,38.4,36.36
2025-04-16,Folder,Storage,4,236.12,173.28,62.84,43.32
2025-04-16,Paper Pack,Paper,3,590.82,431.41,159.41,143.8
2025-04-17,Pencil,Writing,2,16.72,11.58,5.14,5.79
2025-04-17,Tape,Accessories,3,121.09,84.09,37.0,28.03
2025-04-17,Folder,Storage,2,125.84,87.12,38.73,43.56
2025-04-18,Pen,Writing,1,9.34,7.77,1.57,7.77
2025-04-18,Marker,Writing,1,21.61,15.17,6.44,15.17
2025-04-18,Folder,Storage,3,196.21,149.73,46.49,49.91
2025-04-18,Paper Pack,Paper,4,923.22,729.73,193.5,182.43
2025-04-18,Highlighter,Writing,5,62.85,50.14,12.71,10.03
2025-04-19,Pen,Writing,4,31.1,23.63,7.47,5.91
2025-04-19,Notebook,Books,4,256.78,181.21,75.57,45.3
2025-04-19,Marker,Writing,2,64.09,46.84,17.25,23.42
2025-04-19,Tape,Accessories,4,147.12,105.77,41.35,26.44
2025-04-19,Folder,Storage,5,326.18,218.24,107.94,43.65
2025-04-19,Paper Pack,Paper,4,859.88,645.53,214.35,161.38
2025-04-19,Highlighter,Writing,1,20.25,16.51,3.74,16.51
2025-04-20,Pen,Writing,3,38.64,27.02,11.62,9.01
2025-04-20,Marker,Writing,1,29.65,21.32,8.33,21.32
2025-04-20,Eraser,Writing,4,17.29,12.61,4.68,3.15
2025-04-20,Stapler,Accessories,1,178.65,119.59,59.06,119.59
2025-04-20,Tape,Accessories,3,89.07,61.45,27.62,20.48
2025-04-20,Folder,Storage,1,69.21,48.24,20.97,48.24
2025-04-20,Paper Pack,Paper,3,676.99,463.12,213.88,154.37
2025-04-21,Pen,Writing,1,10.63,7.18,3.45,7.18
2025-04-21,Pencil,Writing,2,21.65,15.09,6.55,7.55
2025-04-21,Eraser,Writing,1,3.43,2.48,0.95,2.48
2025-04-21,Stapler,Accessories,4,749.36,503.95,245.41,125.99
2025-04-21,Tape,Accessories,4,101.19,83.57,17.62,20.89
2025-04-21,Folder,Storage,4,266.72,178.71,88.01,44.68
2025-04-21,Paper Pack,Paper,2,480.38,375.17,105.21,187.58
2025-04-21,Highlighter,Writing,4,51.21,42.02,9.19,10.5
2025-04-22,Notebook,Books,4,225.93,157.82,68.11,39.46
2025-04-22,Marker,Writing,2,70.92,51.97,18.94,25.99
2025-04-22,Pencil,Writing,5,21.62,16.31,5.31,3.26
2025-04-22,Eraser,Writing,1,5.2,3.48,1.72,3.48
2025-04-22,Stapler,Accessories,2,243.07,186.77,56.31,93.38
2025-04-22,Tape,Accessories,5,209.89,160.85,49.04,32.17
2025-04-22,Folder,Storage,2,113.98,86.0,27.98,43.0
2025-04-22,Paper Pack,Paper,1,199.82,161.87,37.95,161.87
2025-04-23,Notebook,Books,1,56.7,46.31,10.4,46.31
2025-04-23,Marker,Writing,1,26.62,21.43,5.19,21.43
2025-04-23,Eraser,Writing,2,8.97,6.77,2.19,3.39
2025-04-23,Tape,Accessories,4,162.0,108.48,53.52,27.12
2025-04-23,Paper Pack,Paper,5,865.02,665.88,199.14,133.18
2025-04-24,Pen,Writing,5,51.8,41.49,10.31,8.3
2025-04-24,Notebook,Books,5,325.55,217.69,107.86,43.54
2025-04-24,Pencil,Writing,1,4.52,3.47,1.05,3.47
2025-04-24,Eraser,Writing,2,8.61,6.99,1.62,3.49
2025-04-24,Folder,Storage,3,136.04,108.08,27.96,36.03
2025-04-24,Paper Pack,Paper,4,1007.59,733.71,273.88,183.43
2025-04-25,Notebook,Books,2,97.88,69.48,28.4,34.74
2025-04-25,Pencil,Writing,3,21.22,14.45,6.78,4.82
2025-04-25,Eraser,Writing,1,4.59,3.79,0.8,3.79
2025-04-25,Stapler,Accessories,4,711.29,549.71,161.59,137.43
2025-04-25,Highlighter,Writing,3,78.58,52.73,25.85,17.58
2025-04-26,Pen,Writing,5,57.98,41.7,16.28,8.34
2025-04-26,Notebook,Books,2,106.95,85.65,21.3,42.82
2025-04-26,Marker,Writing,1,19.82,16.4,3.42,16.4
2025-04-26,Eraser,Writing,5,32.01,24.6,7.41,4.92
2025-04-26,Stapler,Accessories,2,250.6,175.5,75.09,87.75
2025-04-26,Highlighter,Writing,2,65.26,44.58,20.68,22.29
2025-04-27,Pen,Writing,5,34.12,27.82,6.29,5.56
2025-04-27,Marker,Writing,2,53.99,40.44,13.55,20.22
2025-04-27,Tape,Accessories,5,262.46,180.62,81.84,36.12
2025-04-27,Folder,Storage,1,39.5,28.16,11.34,28.16
2025-04-27,Paper Pack,Paper,4,872.77,698.13,174.63,174.53
2025-04-28,Notebook,Books,3,206.42,152.47,53.94,50.82
2025-04-28,Marker,Writing,5,100.05,77.49,22.56,15.5
2025-04-28,Highlighter,Writing,1,27.74,23.11,4.62,23.11
2025-04-29,Pen,Writing,2,19.36,14.47,4.89,7.24
2025-04-29,Marker,Writing,3,91.59,63.57,28.02,21.19
2025-04-29,Pencil,Writing,1,4.56,3.21,1.35,3.21
2025-04-29,Stapler,Accessories,1,147.99,100.46,47.54,100.46
2025-04-29,Paper Pack,Paper,1,209.18,144.38,64.8,144.38
2025-04-29,Highlighter,Writing,4,65.98,46.75,19.22,11.69
2025-04-30,Pen,Writing,1,7.47,6.21,1.27,6.21
2025-04-30,Notebook,Books,1,66.9,54.74,12.17,54.74
2025-04-30,Marker,Writing,1,23.13,15.72,7.4,15.72
2025-04-30,Stapler,Accessories,1,207.11,149.23,57.88,149.23
2025-04-30,Tape,Accessories,1,34.16,25.71,8.45,25.71
2025-04-30,Folder,Storage,2,109.95,78.67,31.28,39.33
2025-04-30,Paper Pack,Paper,5,1036.46,839.59,196.87,167.92
2025-04-30,Highlighter,Writing,5,76.6,52.45,24.16,10.49
2025-05-01,Pen,Writing,1,7.22,5.13,2.09,5.13
2025-05-01,Notebook,Books,4,218.13,175.73,42.4,43.93
2025-05-01,Marker,Writing,4,119.7,86.6,33.09,21.65
2025-05-01,Eraser,Writing,5,27.49,19.59,7.9,3.92
2025-05-01,Stapler,Accessories,4,575.76,427.66,148.1,106.92
2025-05-02,Pen,Writing,1,6.08,5.01,1.06,5.01
2025-05-02,Pencil,Writing,2,20.42,15.72,4.71,7.86
2025-05-02,Eraser,Writing,3,13.46,10.03,3.43,3.34
2025-05-02,Stapler,Accessories,5,483.24,401.93,81.31,80.39
2025-05-02,Tape,Accessories,3,142.22,110.64,31.58,36.88
2025-05-02,Folder,Storage,5,266.03,196.51,69.52,39.3
2025-05-02,Paper Pack,Paper,1,186.08,151.76,34.32,151.76
2025-05-03,Pen,Writing,3,38.7,28.2,10.5,9.4
2025-05-03,Notebook,Books,3,125.56,94.04,31.52,31.35
2025-05-03,Pencil,Writing,4,38.96,26.6,12.36,6.65
2025-05-03,Stapler,Accessories,5,735.55,508.28,227.27,101.66
2025-05-03,Paper Pack,Paper,3,510.21,360.5,149.71,120.17
2025-05-04,Pen,Writing,4,41.64,33.73,7.9,8.43
2025-05-04,Notebook,Books,4,203.11,164.29,38.82,41.07
2025-05-04,Marker,Writing,4,150.65,114.02,36.63,28.5
2025-05-04,Pencil,Writing,1,10.8,7.71,3.09,7.71
2025-05-04,Stapler,Accessories,3,493.97,365.73,128.24,121.91
2025-05-04,Tape,Accessories,1,47.16,32.25,14.9,32.25
2025-05-04,Paper Pack,Paper,2,470.54,324.8,145.74,162.4
2025-05-05,Marker,Writing,3,91.82,66.87,24.95,22.29
2025-05-05,Pencil,Writing,5,44.52,35.2,9.32,7.04
2025-05-05,Eraser,Writing,1,2.9,2.2,0.7,2.2
2025-05-05,Tape,Accessories,5,164.77,127.54,37.23,25.51
2025-05-05,Paper Pack,Paper,2,402.48,301.48,101.01,150.74
2025-05-05,Highlighter,Writing,1,21.33,16.46,4.87,16.46
2025-05-06,Pen,Writing,2,16.55,13.7,2.85,6.85
2025-05-06,Notebook,Books,2,93.06,70.01,23.04,35.01
2025-05-06,Marker,Writing,1,25.16,20.19,4.97,20.19
2025-05-06,Pencil,Writing,4,23.53,19.58,3.96,4.89
2025-05-06,Eraser,Writing,3,12.53,9.69,2.84,3.23
2025-05-06,Folder,Storage,4,216.16,158.02,58.14,39.51
2025-05-06,Paper Pack,Paper,1,176.61,131.24,45.37,131.24
2025-05-06,Highlighter,Writing,3,66.92,53.94,12.98,17.98
2025-05-07,Pen,Writing,3,25.98,20.82,5.16,6.94
2025-05-07,Notebook,Books,3,138.99,103.24,35.76,34.41
2025-05-07,Marker,Writing,2,49.78,33.48,16.3,16.74
2025-05-07,Pencil,Writing,4,43.5,31.9,11.6,7.97
2025-05-07,Eraser,Writing,3,19.29,14.65,4.64,4.88
2025-05-07,Stapler,Accessories,4,798.54,594.43,204.11,148.61
2025-05-07,Tape,Accessories,5,255.49,176.19,79.3,35.24
2025-05-07,Folder,Storage,2,129.04,91.34,37.7,45.67
2025-05-07,Paper Pack,Paper,5,944.13,736.98,207.15,147.4
2025-05-08,Pen,Writing,3,24.03,17.48,6.55,5.83
2025-05-08,Marker,Writing,2,58.98,44.67,14.32,22.33
2025-05-08,Tape,Accessories,2,82.97,58.46,24.51,29.23
2025-05-08,Folder,Storage,5,251.38,184.44,66.94,36.89
2025-05-08,Paper Pack,Paper,3,819.2,578.27,240.93,192.76
2025-05-08,Highlighter,Writing,4,60.19,42.28,17.92,10.57
2025-05-09,Pen,Writing,5,57.54,44.86,12.68,8.97
2025-05-09,Pencil,Writing,3,20.5,16.69,3.81,5.56
2025-05-09,Stapler,Accessories,2,310.42,228.8,81.62,114.4
2025-05-09,Tape,Accessories,3,122.2,90.68,31.53,30.23
2025-05-09,Folder,Storage,3,189.94,142.08,47.85,47.36
2025-05-09,Paper Pack,Paper,4,991.24,738.11,253.13,184.53
2025-05-10,Pen,Writing,5,52.32,35.98,16.34,7.2
2025-05-10,Marker,Writing,3,88.19,65.17,23.02,21.72
2025-05-10,Stapler,Accessories,5,600.27,410.69,189.58,82.14
2025-05-10,Tape,Accessories,5,195.84,135.87,59.96,27.17
2025-05-10,Folder,Storage,1,67.13,44.83,22.29,44.83
2025-05-10,Paper Pack,Paper,2,479.99,372.56,107.44,186.28
2025-05-10,Highlighter,Writing,1,21.02,15.13,5.9,15.13
2025-05-11,Pen,Writing,5,62.71,43.84,18.88,8.77
2025-05-11,Stapler,Accessories,1,167.73,130.62,37.11,130.62
2025-05-11,Folder,Storage,3,124.76,101.16,23.6,33.72
2025-05-12,Pen,Writing,5,40.2,27.52,12.68,5.5
2025-05-12,Marker,Writing,2,76.02,53.84,22.19,26.92
2025-05-12,Pencil,Writing,2,18.34,13.1,5.24,6.55
2025-05-12,Eraser,Writing,2,8.19,5.69,2.51,2.84
2025-05-12,Tape,Accessories,3,84.32,61.32,22.99,20.44
2025-05-12,Paper Pack,Paper,5,775.66,613.47,162.19,122.69
2025-05-12,Highlighter,Writing,1,17.37,11.84,5.53,11.84
2025-05-13,Pen,Writing,2,22.0,15.86,6.14,7.93
2025-05-13,Notebook,Books,2,105.38,74.52,30.86,37.26
2025-05-13,Eraser,Writing,4,13.92,9.71,4.2,2.43
2025-05-13,Stapler,Accessories,2,248.24,178.74,69.5,89.37
2025-05-13,Tape,Accessories,4,138.09,112.2,25.9,28.05
2025-05-13,Folder,Storage,5,167.87,130.86,37.01,26.17
2025-05-13,Highlighter,Writing,2,44.28,34.01,10.27,17.0
2025-05-14,Notebook,Books,4,172.96,132.23,40.74,33.06
2025-05-14,Marker,Writing,3,115.2,83.99,31.21,28.0
2025-05-14,Stapler,Accessories,4,628.57,509.04,119.53,127.26
2025-05-14,Tape,Accessories,5,192.86,138.76,54.09,27.75
2025-05-14,Paper Pack,Paper,5,1239.23,885.22,354.01,177.04
2025-05-15,Pencil,Writing,5,37.38,26.89,10.49,5.38
2025-05-15,Stapler,Accessories,4,755.23,562.43,192.8,140.61
2025-05-15,Tape,Accessories,3,99.92,82.19,17.73,27.4
2025-05-15,Paper Pack,Paper,5,1085.03,766.32,318.71,153.26
2025-05-15,Highlighter,Writing,3,87.66,62.87,24.79,20.96
2025-05-16,Marker,Writing,1,23.79,17.05,6.74,17.05
2025-05-16,Eraser,Writing,4,12.12,8.63,3.49,2.16
2025-05-16,Stapler,Accessories,1,183.05,142.32,40.73,142.32
2025-05-16,Tape,Accessories,1,52.31,36.47,15.85,36.47
2025-05-16,Folder,Storage,5,268.52,211.01,57.51,42.2
2025-05-17,Marker,Writing,3,85.9,63.19,22.7,21.06
2025-05-17,Pencil,Writing,5,39.61,26.6,13.01,5.32
2025-05-17,Eraser,Writing,1,4.2,2.94,1.27,2.94
2025-05-17,Tape,Accessories,2,101.96,74.29,27.68,37.14
2025-05-17,Folder,Storage,1,35.84,28.01,7.83,28.01
2025-05-17,Paper Pack,Paper,5,1047.4,736.72,310.68,147.34
2025-05-17,Highlighter,Writing,1,18.7,15.58,3.12,15.58
2025-05-18,Pen,Writing,4,45.33,30.97,14.36,7.74
2025-05-18,Marker,Writing,1,31.01,24.09,6.92,24.09
2025-05-18,Pencil,Writing,3,16.52,13.54,2.98,4.51
2025-05-18,Eraser,Writing,2,10.23,7.62,2.61,3.81
2025-05-18,Stapler,Accessories,4,500.04,336.2,163.84,84.05
2025-05-18,Highlighter,Writing,4,109.27,86.62,22.65,21.65
2025-05-19,Eraser,Writing,3,10.57,7.32,3.25,2.44
2025-05-19,Tape,Accessories,4,189.64,131.43,58.22,32.86
2025-05-19,Paper Pack,Paper,4,794.77,652.42,142.35,163.11
2025-05-20,Marker,Writing,1,26.93,21.72,5.22,21.72
2025-05-20,Eraser,Writing,5,36.08,24.24,11.84,4.85
2025-05-20,Paper Pack,Paper,5,1071.95,783.44,288.51,156.69
2025-05-21,Pen,Writing,5,38.14,26.25,11.89,5.25
2025-05-21,Eraser,Writing,1,3.85,2.59,1.26,2.59
2025-05-21,Paper Pack,Paper,3,693.86,470.15,223.71,156.72
2025-05-21,Highlighter,Writing,2,62.14,49.44,12.71,24.72
2025-05-22,Eraser,Writing,2,12.92,9.8,3.12,4.9
2025-05-22,Folder,Storage,1,52.29,36.46,15.84,36.46
2025-05-23,Eraser,Writing,4,14.94,10.74,4.19,2.69
2025-05-23,Stapler,Accessories,4,500.87,369.81,131.06,92.45
2025-05-23,Folder,Storage,3,103.76,77.19,26.57,25.73
2025-05-23,Highlighter,Writing,1,18.42,12.31,6.12,12.31
2025-05-24,Notebook,Books,1,69.29,52.83,16.46,52.83
2025-05-24,Marker,Writing,5,94.28,77.45,16.83,15.49
2025-05-24,Pencil,Writing,2,13.75,9.57,4.18,4.79
2025-05-24,Eraser,Writing,4,19.72,14.89,4.83,3.72
2025-05-24,Highlighter,Writing,3,48.39,39.94,8.45,13.31
2025-05-25,Pen,Writing,1,8.06,5.74,2.32,5.74
2025-05-25,Notebook,Books,4,252.61,189.79,62.82,47.45
2025-05-25,Marker,Writing,3,86.66,59.69,26.97,19.9
2025-05-25,Pencil,Writing,2,19.79,14.93,4.86,7.46
2025-05-25,Stapler,Accessories,2,259.84,188.66,71.19,94.33
2025-05-25,Tape,Accessories,3,115.7,95.63,20.07,31.88
2025-05-25,Paper Pack,Paper,2,528.02,390.53,137.49,195.26
2025-05-25,Highlighter,Writing,3,87.87,67.61,20.26,22.54
2025-05-26,Pencil,Writing,1,6.45,5.32,1.14,5.32
2025-05-26,Eraser,Writing,5,13.08,10.56,2.52,2.11
2025-05-26,Tape,Accessories,1,27.78,21.23,6.55,21.23
2025-05-26,Paper Pack,Paper,5,915.77,721.58,194.19,144.32
2025-05-26,Highlighter,Writing,4,124.21,98.01,26.2,24.5
2025-05-27,Pencil,Writing,2,21.62,14.96,6.66,7.48
2025-05-27,Eraser,Writing,3,10.01,7.63,2.38,2.54
2025-05-27,Highlighter,Writing,5,80.46,61.22,19.24,12.24
2025-05-28,Pen,Writing,2,21.37,17.09,4.28,8.55
2025-05-28,Marker,Writing,3,98.53,73.28,25.25,24.43
2025-05-28,Pencil,Writing,4,30.53,24.64,5.89,6.16
2025-05-28,Eraser,Writing,1,4.79,3.54,1.25,3.54
2025-05-28,Stapler,Accessories,1,139.02,111.42,27.6,111.42
2025-05-28,Tape,Accessories,3,133.81,108.21,25.6,36.07
2025-05-28,Folder,Storage,5,298.39,232.71,65.68,46.54
2025-05-28,Highlighter,Writing,5,92.38,66.0,26.37,13.2
2025-05-29,Pen,Writing,1,12.06,8.51,3.56,8.51
2025-05-29,Notebook,Books,1,52.93,39.36,13.57,39.36
2025-05-29,Marker,Writing,4,100.3,83.06,17.24,20.77
2025-05-29,Eraser,Writing,2,11.18,7.7,3.49,3.85
2025-05-29,Stapler,Accessories,3,487.41,345.23,142.19,115.08
2025-05-29,Tape,Accessories,3,110.88,85.78,25.1,28.59
2025-05-29,Folder,Storage,5,346.78,245.19,101.59,49.04
2025-05-29,Highlighter,Writing,3,85.98,68.94,17.04,22.98
2025-05-30,Pen,Writing,2,26.23,18.71,7.52,9.36
2025-05-30,Marker,Writing,3,124.47,83.28,41.19,27.76
2025-05-30,Eraser,Writing,4,12.35,10.24,2.11,2.56
2025-05-30,Stapler,Accessories,5,725.82,523.54,202.29,104.71
2025-05-30,Tape,Accessories,1,51.89,37.56,14.33,37.56
2025-05-30,Folder,Storage,1,42.75,32.14,10.6,32.14
2025-05-30,Highlighter,Writing,2,34.39,26.16,8.23,13.08
2025-05-31,Pencil,Writing,3,28.68,20.78,7.9,6.93
2025-05-31,Stapler,Accessories,2,346.67,288.06,58.6,144.03
2025-05-31,Tape,Accessories,2,70.35,47.17,23.17,23.59
2025-05-31,Folder,Storage,1,61.32,43.45,17.87,43.45
2025-05-31,Paper Pack,Paper,3,592.44,484.73,107.71,161.58
2025-06-01,Pen,Writing,3,24.47,19.03,5.45,6.34
2025-06-01,Eraser,Writing,5,29.15,23.88,5.27,4.78
2025-06-01,Stapler,Accessories,4,676.53,487.73,188.8,121.93
2025-06-01,Folder,Storage,2,111.77,85.19,26.58,42.59
2025-06-01,Paper Pack,Paper,1,244.14,176.53,67.61,176.53
2025-06-01,Highlighter,Writing,4,66.0,54.97,11.03,13.74
2025-06-02,Pen,Writing,3,20.68,16.59,4.09,5.53
2025-06-02,Eraser,Writing,4,23.05,16.41,6.63,4.1
2025-06-02,Stapler,Accessories,1,158.44,106.99,51.45,106.99
2025-06-02,Tape,Accessories,3,155.01,117.45,37.55,39.15
2025-06-02,Paper Pack,Paper,1,227.43,159.84,67.59,159.84
2025-06-02,Highlighter,Writing,4,125.18,84.9,40.28,21.23
2025-06-03,Pen,Writing,4,40.65,28.69,11.96,7.17
2025-06-03,Notebook,Books,4,269.35,193.6,75.75,48.4
2025-06-03,Marker,Writing,4,100.86,72.24,28.62,18.06
2025-06-03,Eraser,Writing,4,10.41,8.16,2.24,2.04
2025-06-03,Stapler,Accessories,5,629.12,427.0,202.12,85.4
2025-06-03,Tape,Accessories,2,95.79,69.31,26.48,34.65
2025-06-03,Paper Pack,Paper,2,501.79,381.59,120.2,190.8
2025-06-03,Highlighter,Writing,5,143.81,109.01,34.8,21.8
2025-06-04,Pen,Writing,3,27.85,22.82,5.03,7.61
2025-06-04,Notebook,Books,1,52.11,36.19,15.92,36.19
2025-06-04,Marker,Writing,4,120.58,82.11,38.48,20.53
2025-06-04,Stapler,Accessories,5,982.04,705.8,276.24,141.16
2025-06-04,Folder,Storage,2,122.12,82.47,39.66,41.23
2025-06-04,Paper Pack,Paper,2,459.39,320.01,139.37,160.01
2025-06-04,Highlighter,Writing,5,98.04,72.58,25.46,14.52
2025-06-05,Pen,Writing,4,31.08,24.2,6.88,6.05
2025-06-05,Marker,Writing,1,23.59,18.9,4.69,18.9
2025-06-05,Pencil,Writing,5,51.4,34.66,16.73,6.93
2025-06-05,Folder,Storage,4,166.68,128.92,37.77,32.23
2025-06-05,Paper Pack,Paper,2,425.7,325.69,100.01,162.84
2025-06-05,Highlighter,Writing,4,133.77,92.36,41.42,23.09
2025-06-06,Pen,Writing,5,43.33,33.17,10.16,6.63
2025-06-06,Notebook,Books,1,58.19,39.56,18.63,39.56
2025-06-06,Marker,Writing,5,141.84,112.73,29.1,22.55
2025-06-06,Paper Pack,Paper,1,186.24,132.83,53.41,132.83
2025-06-06,Highlighter,Writing,4,66.43,53.78,12.65,13.44
2025-06-07,Pen,Writing,5,61.0,42.97,18.03,8.59
2025-06-07,Notebook,Books,1,53.44,40.36,13.09,40.36
2025-06-07,Eraser,Writing,4,18.52,14.99,3.53,3.75
2025-06-07,Stapler,Accessories,3,354.88,291.52,63.35,97.17
2025-06-07,Tape,Accessories,3,114.19,80.14,34.05,26.71
2025-06-07,Folder,Storage,3,154.68,116.77,37.92,38.92
2025-06-07,Paper Pack,Paper,3,692.16,522.95,169.21,174.32
2025-06-08,Pen,Writing,2,20.63,14.12,6.51,7.06
2025-06-08,Marker,Writing,5,171.62,127.25,44.37,25.45
2025-06-08,Eraser,Writing,2,8.73,7.07,1.66,3.54
2025-06-09,Pencil,Writing,5,43.2,30.71,12.49,6.14
2025-06-09,Eraser,Writing,1,5.91,4.19,1.72,4.19
2025-06-09,Tape,Accessories,1,38.62,29.7,8.91,29.7
2025-06-09,Paper Pack,Paper,3,735.93,556.94,178.99,185.65
2025-06-09,Highlighter,Writing,3,43.97,33.41,10.57,11.14
2025-06-10,Marker,Writing,4,100.89,70.9,29.99,17.73
2025-06-10,Eraser,Writing,1,2.92,2.22,0.69,2.22
2025-06-10,Tape,Accessories,5,202.11,155.91,46.2,31.18
2025-06-10,Folder,Storage,3,167.98,128.0,39.98,42.67
2025-06-10,Paper Pack,Paper,3,731.2,517.62,213.58,172.54
2025-06-10,Highlighter,Writing,3,97.93,67.41,30.52,22.47
2025-06-11,Pen,Writing,4,26.97,21.91,5.06,5.48
2025-06-11,Notebook,Books,4,291.5,211.98,79.52,53.0
2025-06-11,Stapler,Accessories,1,102.27,81.02,21.24,81.02
2025-06-11,Folder,Storage,4,175.32,119.5,55.82,29.87
2025-06-12,Notebook,Books,2,155.7,113.35,42.35,56.67
2025-06-12,Pencil,Writing,2,14.35,10.15,4.2,5.07
2025-06-12,Eraser,Writing,3,10.58,7.67,2.91,2.56
2025-06-12,Highlighter,Writing,2,53.76,40.88,12.87,20.44
2025-06-13,Pencil,Writing,1,6.4,4.32,2.08,4.32
2025-06-13,Stapler,Accessories,5,922.62,689.07,233.55,137.81
2025-06-13,Tape,Accessories,3,122.46,95.72,26.74,31.91
2025-06-14,Notebook,Books,4,303.16,212.84,90.32,53.21
2025-06-14,Marker,Writing,1,28.09,21.96,6.13,21.96
2025-06-14,Pencil,Writing,3,29.68,21.36,8.31,7.12
2025-06-14,Tape,Accessories,3,129.09,90.85,38.24,30.28
2025-06-14,Folder,Storage,5,331.65,228.18,103.47,45.64
2025-06-14,Paper Pack,Paper,5,770.13,626.9,143.23,125.38
2025-06-15,Pen,Writing,3,39.5,27.1,12.4,9.03
2025-06-15,Marker,Writing,5,147.13,98.86,48.28,19.77
2025-06-15,Stapler,Accessories,4,638.89,503.22,135.67,125.8
2025-06-15,Tape,Accessories,2,88.22,68.25,19.97,34.12
2025-06-15,Folder,Storage,3,111.71,75.4,36.31,25.13
2025-06-15,Paper Pack,Paper,5,1147.22,834.77,312.44,166.95
2025-06-16,Notebook,Books,2,93.83,68.31,25.52,34.15
2025-06-16,Marker,Writing,3,113.08,86.81,26.27,28.94
2025-06-16,Pencil,Writing,3,21.38,16.04,5.34,5.35
2025-06-16,Eraser,Writing,1,5.01,3.38,1.63,3.38
2025-06-16,Stapler,Accessories,3,542.98,414.89,128.09,138.3
2025-06-16,Folder,Storage,3,118.2,87.55,30.65,29.18
2025-06-17,Notebook,Books,3,227.0,157.3,69.7,52.43
2025-06-17,Marker,Writing,4,85.93,62.54,23.39,15.64
2025-06-17,Pencil,Writing,2,8.88,6.19,2.69,3.1
2025-06-17,Highlighter,Writing,2,39.95,32.06,7.89,16.03
2025-06-18,Pen,Writing,2,26.42,19.21,7.2,9.61
2025-06-18,Notebook,Books,3,114.52,94.68,19.84,31.56
2025-06-18,Marker,Writing,1,35.29,24.1,11.19,24.1
2025-06-18,Stapler,Accessories,5,1042.07,741.67,300.4,148.33
2025-06-18,Tape,Accessories,1,48.29,39.94,8.35,39.94
2025-06-19,Pen,Writing,5,34.54,26.56,7.98,5.31
2025-06-19,Notebook,Books,4,317.41,218.04,99.37,54.51
2025-06-19,Pencil,Writing,3,27.61,20.84,6.77,6.95
2025-06-19,Eraser,Writing,3,13.09,10.22,2.87,3.41
2025-06-19,Stapler,Accessories,4,601.71,442.77,158.94,110.69
2025-06-19,Folder,Storage,4,184.02,127.84,56.18,31.96
2025-06-19,Paper Pack,Paper,5,858.56,693.0,165.56,138.6
2025-06-19,Highlighter,Writing,1,19.76,15.31,4.45,15.31
2025-06-20,Notebook,Books,4,179.3,137.63,41.67,34.41
2025-06-20,Pencil,Writing,2,20.18,14.29,5.89,7.15
2025-06-20,Stapler,Accessories,2,286.9,230.77,56.13,115.39
2025-06-20,Folder,Storage,1,53.9,36.04,17.85,36.04
2025-06-20,Paper Pack,Paper,2,373.25,285.11,88.14,142.55
2025-06-20,Highlighter,Writing,1,26.06,18.61,7.45,18.61
2025-06-21,Marker,Writing,5,218.87,149.21,69.66,29.84
2025-06-21,Pencil,Writing,3,22.59,16.84,5.75,5.61
2025-06-21,Stapler,Accessories,3,467.11,378.2,88.92,126.07
2025-06-21,Folder,Storage,4,191.77,141.61,50.15,35.4
2025-06-22,Notebook,Books,5,319.07,236.9,82.18,47.38
2025-06-22,Pencil,Writing,1,8.61,6.71,1.9,6.71
2025-06-22,Eraser,Writing,4,14.54,9.98,4.56,2.5
2025-06-22,Stapler,Accessories,2,395.63,286.45,109.18,143.22
2025-06-22,Tape,Accessories,1,45.56,35.71,9.85,35.71
2025-06-22,Highlighter,Writing,3,97.88,68.03,29.85,22.68
2025-06-23,Pen,Writing,1,6.54,5.13,1.41,5.13
2025-06-23,Notebook,Books,4,191.8,149.96,41.84,37.49
2025-06-23,Marker,Writing,2,74.65,53.78,20.88,26.89
2025-06-23,Eraser,Writing,1,4.61,3.66,0.95,3.66
2025-06-23,Stapler,Accessories,2,434.33,292.79,141.53,146.4
2025-06-23,Highlighter,Writing,5,121.36,84.97,36.38,16.99
2025-06-24,Pen,Writing,2,23.83,17.6,6.23,8.8
2025-06-24,Pencil,Writing,2,9.32,7.71,1.61,3.85
2025-06-24,Eraser,Writing,1,4.89,3.53,1.36,3.53
2025-06-24,Tape,Accessories,5,127.13,105.02,22.1,21.0
2025-06-24,Folder,Storage,4,289.05,192.84,96.21,48.21
2025-06-25,Pen,Writing,4,42.55,34.49,8.05,8.62
2025-06-25,Marker,Writing,4,119.25,82.79,36.46,20.7
2025-06-25,Pencil,Writing,3,24.46,17.53,6.93,5.84
2025-06-25,Eraser,Writing,2,11.05,8.06,2.98,4.03
2025-06-25,Tape,Accessories,2,75.12,52.72,22.4,26.36
2025-06-25,Folder,Storage,1,42.51,32.07,10.44,32.07
2025-06-25,Paper Pack,Paper,5,1378.79,984.6,394.19,196.92
2025-06-26,Pen,Writing,1,10.4,8.27,2.13,8.27
2025-06-26,Notebook,Books,5,401.96,282.73,119.23,56.55
2025-06-26,Marker,Writing,3,80.59,60.29,20.3,20.1
2025-06-26,Eraser,Writing,4,23.16,15.47,7.69,3.87
2025-06-26,Stapler,Accessories,3,349.2,269.87,79.33,89.96
